Department,Comments,,,,,,,,,,,,,,,,
0,Greetings from Taita Taveta University; The University Bus will be available at Voi town to feryy First year Students and Parents free of charge on Monday (20/09/2021) from 6am. For those who will be arriving with the SGR at 12noon the University Bus will be picking you up at the SGR Voi station. Welcome to Taita Taveta University; Home of Ideas,,,,,,,,,,,,,,,,
4,Great interactions@ Taita TavetaUniversity Voi . Hosted members of #SUSO who donated some dustbins. Interractions were full of fun and educating too! #naturenimuhimu  #susocapacitybuilding  #environmentalist #ubuntu Stand Up Shout Out ,,,,,,,,,,,,,,,,
3,The Ministry of 3 Officials today conducted Covid-19 sensitization and vaccination of the students with Moderna vaccine. The University aims to vaccinate all staff and students to protect everyone against COVID-19.,,,,,,,,,,,,,,,,
3,Covid-19 sensitisation and vaccination,,,,,,,,,,,,,,,,
0,TTU in conjunction with the Retirement Benefits Authority (RBA)  organized a two days staff retirement planning seminar. The workshop aims to sensitize participants to proactively and strategically plan for their retirement needs. To facilitate a smooth transition to the new phase in life.  Retirement Benefits Authority Kenya,,,,,,,,,,,,,,,,
0,"Today, we hosted Taita Taveta County Fire & Rescue Services Team from the Department of Public Works and Infrastructure for a safety inspection on the level of TTU preparedness and available water points in case of a fire disaster. Prof. Kiptanui Too - Deputy Vice Chancellor (0, Finance and Planning) congratulated the County Government for the noble idea of purchasing the state of art fire engines for the county, he encouraged the fire fighting team to fully utilised the opportunity accorded to them by dedicating there life in  rescueing, saving and protecting the property and life of the people around the county.",,,,,,,,,,,,,,,,
0,"Vice Chancellor Prof.Fred Simiyu launched two days refresher workshop on Quality Management System for the process owners at the University Auditorium. At the end of the workshop the participants would have gained knowledge on Key changes between ISO 9001 : 2008 & 9001:2015, Understand requirements of ISO 9001:2015, Be able to apply and implement ISO 9001:2015 and be aware of transition guidance for ISO 9001:2015.",,,,,,,,,,,,,,,,
1,"Held 4th Taita Taveta University Graduation on 6th May 2021 at the Amphi Theater. The Ceremony was presided over by the University Chancellor Dr. Sally Kosgei. A total 680 granduands were conferred degrees and awarded diplomas and Certificate.The Ceremony was attended by Principal Secretary State Department of Education & Research Amb. Simon Nabukwesi, Principal Secretary State Department of Crop & Agricultural Research Prof. Hamadi Iddi Boga Wundanyi Mp Hon. Danson Mwashako Mwakuwona Council Members, Senate and Staff.",,,,,,,,,,,,,,,,
0,"We have received a donation of 5 (5000ltrs) storage water tanks, 10 (100ltrs) of Litter bins with lids, wheels & foot pedal,  10 (100ltrs) Litter bins with with wheels & lid, 10 (100ltrs) Litter bins with lid only and 5 poly pots from Sustainable World Organization courtesy of Multi Agency ESSC-HORN OF AFRICA .The Vice Chancellor thanked the donors for their generosity geared towards supporting TTU to attain the SDGs by the year 2030 and in this case Goal number 6.",,,,,,,,,,,,,,,,
4,Our former student Mrs Sabina Lelemoyog from Ledero and her organization Bright Future Foundation Samburu has been noticed by Absa Bank Kenya for their exemplary job as a girls empowerment CBO in Samburu county. They have been shortlisted among many organisations in Kenya to provide Sanitary towels to the women and girls in our community. They want to have pad banks in various locations through out samburu where women and girls can easily access sanitary towels.Absa has tweeted a competition to get the best CBO for an award of Ksh 2.5m for the most retweeted one. ,,,,,,,,,,,,,,,,
4,"TTU Alumna and  Former TTU Rotaract Club President, Lydia Lukera, is set to not only serve as the Rotaract Club Kenya President 2021/22 but also as the District Rotaract Representative (DRR) of District 9212, a cluster of Rotaract Clubs in Kenya, Ethiopia, Eritrea and South Sudan.Congratulations Lydia Lukera. You Deserve it! #TTULife",,,,,,,,,,,,,,,,
3,"Today, we received a donation of 4 Patient Ward Beds, 4 Hospital Mackintosh Mattresses, 1 Patient Examination Couch and 1 Patient Emergency Stretcher from ESSC-HoA as part of Sustainable Development Goal 3 to boost our 3 Unit Facility. The University 3 Facility serves Taita Taveta University students, staff and community around. The Vice Chancellor Prof.Fred Simiyu Barasa who received the donation on behalf of TTU fraternity, thanked the donors for their immense and timely contribution that will go towards improving the quality of 3 services in the University 3 Unit to make 3 services more effective, safe and people-centred.",,,,,,,,,,,,,,,,
0,"You are invited to a Zoom webinar.When: Apr 13, 2021 10:00 AM NairobiTopic: Employee wellness: A look at lifestyle diseases (Diabetes, Hypertension) prevention during Covid-19 Please click the link below to join the webinar:https://us02web.zoom.us/j/88415123970... Webinar ID 884 1512 3970 Passcode 700700",,,,,,,,,,,,,,,,
0,"Taita Taveta University Council, in consideration of competitive recruitment process conducted by the Public Service Commission of Kenya in February 2021, and with the subsequent concurrence of the Cabinet Secretary for Ministry of Education Prof. George Magoha; has formally appointed Prof. Fred Simiyu Barasa as the substantive Vice Chancellor of Taita Taveta University for a term of five (5) years. Hongera Prof.Fred Simiyu Barasa.",,,,,,,,,,,,,,,,
0,"Vice Chancellor Prof.Fred Simiyu Barasa, PhD Condolence message to the Family and friends of Dr.Nicholas Muthama.",,,,,,,,,,,,,,,,
0,"Ina lillahi waina ilaihi raajiun. A very focused individual. He had wanted to go back to JKUAT when TTU was separating from JKUAT. After a few sessions with him in my office showing him the value of sticking with TTUC then, he stayed around and made major contributions to Brand TTU as a Chair of Maths and IT and in all the positions he held at TTU. He eventually earned his PhD. It is a great loss to the TTU family. May he rest in eternal peace. Prof. Hamadi Boga",,,,,,,,,,,,,,,,
0,It's with very deep sorrow that we announce the passing on of Dr.Nicholas Muthama - (CEMEREM Project Manager and Lecturer School of Science and Informatics) after a short admission last evening at St. Joseph Hospital - Voi. The cause of death hasn't been confirmed. May The Almighty Rest His Soul in Peace.,,,,,,,,,,,,,,,,
0,Vice Chancellor Prof.Fred Simiyu Barasa took the Covid-19 vaccine at the University 6 Pavillion. The Vice Chancellor took the Oxford AstraZeneca vaccine alongside several University staff.,,,,,,,,,,,,,,,,
0,"This is great, but is that vaccine given once or after some days they will receive another jab?",,,,,,,,,,,,,,,,
0,"Today we signed a Memorandum of Understanding with Undugu Mentorship Initiative to promote strategic & co-operative partnership between the two parties. The event which was held at the University was witnessed by The Vice Chancellor Prof. Fred Simiyu and Deputy Vice Chancellor (Academic, Research and Outreach) Prof. Christine Onyango, UMI was represented by Mr. Thomas Mwaengo and Ms. Elizabeth Mbinga",,,,,,,,,,,,,,,,
0,"International Condom Day came about as an innovative and lighthearted way to remind people that wearing a condom can prevent pregnancy and STDs, including HIV.",,,,,,,,,,,,,,,,
0,"Kenya National AIDS Control Council has selected TTU to host International Condom Day 2021 celebrated on 13th February a day before Valentine's Day This year's theme is Safer Is Fun. This National event will be hosted at the University 6 Pavilion on Saturday 13th Feb 2021 from 9:00am.You are invited to learn, be entertained with various groups (skits, drama, fashion show & dances). There will be lots of prizes to be won.",,,,,,,,,,,,,,,,
0,"Today we were delighted to host Prof. Hamadi Iddi Boga (Principal Secretary State Department for Crop Development & Agricultural Research) , Prof. Micheni Ntiba, CBS(Principal Secretary State Department for Fisheries, Agriculture a& Blue Economy and Hon. Safina Kwekwe  (Principal Secretary Tourism) who paid a courtesy call to The Vice Chancellor Prof. Fred Simiyu Barasa. The parties discussed on various partnership proposal between TTU and respective National Government Ministries. Later, they toured the University to experience some of the projects that are being undertaken in the University through the National Government support.",,,,,,,,,,,,,,,,
2,"Swearing in ceremony for Taita Taveta University Students Association Leaders presided over by Senior Counsel Duncan Mwanyumba at the University Auditorium The Chief Guest during the colorful event was Prof. Christine Onyango - Deputy Vice Chancellor (Academic, Research & Outreach).",,,,,,,,,,,,,,,,
0,"Crowdsource enables anyone to contribute data that goes into training Google?s Machine Learning (ML) and Artificial Intelligence (AI) to make their favorite Google products even more delightful for the diversity of the global population. By answering simple questions on the Crowdsource mobile app or web, our community members are able to help create AI that understands different languages, cultures and communities around the world. We offer several learning opportunities to our community. We recently announced the ExploreML with Crowdsource program, where Crowdsource influencers, trained by Google ML engineers, conduct Machine Learning workshops using content/resources developed and curated by Googlers. We would like to partner with your institute to run this program. This will be an exciting opportunity for your students to understand the basics of machine learning and receive a certificate for their participation. If interested, your students may fill this form to sign-up for an upcoming workshop.",,,,,,,,,,,,,,,,
0,"EXACTLY ONE WEEK TO THE DEADLINE!!! We are still accepting applications for the new Leadership for Africa Programme! Funded by: Federal Foreign Office of Germany Target Group: Undergraduate degree holders who wish to study for a Master?s degree in Germany. Country of Origin: Applicants from Ethiopia, Kenya, Sudan and Uganda are encouraged to apply. Also, the programme addresses recognized refugees as well as educational residents of the mentioned countries Destination: Germany When: Application via the DAAD portal is open until 16 October, 2020. Start of funding/scholarship: winter term 2021/22 (in Germany the winter term starts in September/October each year) Unique feature: All ?Leadership for Africa? scholarship holders benefit from a complementary study programme in good governance, civil society and sustainable project management. #DAAD #DAADscholarship #scholarshipopportunities #GoodGovernance #civilsociety #sustainability #projectmanagement #leadershipforafrica #UNHCR #UNHCRKenya",,,,,,,,,,,,,,,,
0,Congratulations to all 1st years selected to join Taita Taveta University this year. You can now download your Calling Letter directly from our website; *KUCCPS Students 2020* can now download their Admission Documents from *_Admission Portal_* accessed through TTU website,,,,,,,,,,,,,,,,
5,"How are you? Incase you need Updated ATD/CPA /CS /CCP Soft Copy Study notes plus their respective Revision Kits and Past Papers; Kindly, get in touch with me. Call/WhatsApp 0723 151 683. You will get them instantly  at a small Consideration.Thank you.",,,,,,,,,,,,,,,,
5,"TUMAINI video coming soon , God willing this 28th April we will be launching it ..meanwhile subscribe to my YouTube channel & u will be the 1st to get it",,,,,,,,,,,,,,,,
5,Welcome to our Live Service at Jpp Church Pst Evan Kiju ministering Where are you watching from...? Deop your comment share and like...,,,,,,,,,,,,,,,,
5,Shalom family.... tomorrow is Sunday.... kindly log into our page for online fellowship from 10:00 am... spare some time to edify your spirit with the word from the Lord. God bless you all... and we love you all..???? baraka!,,,,,,,,,,,,,,,,
5,Happy Easter family.... we thank God for preserving us till this season. Kindly join us tomorrow at 10:00 am (EAT) in our page (JCC VOI)for online fellowship.. let?s all celebrate the victory of our Lord. He is risen!!! Hallelujah. Kindly invite a friend and be a blessing to them. ???? we love you all.,,,,,,,,,,,,,,,,
5,We're launching a $100M grants program to help the small business community weather the challenges related to the COVID-19 outbreak. We'll be posting more information over the next few weeks around eligibility and the full application process. Please go to fb.me/business-grants-fb for more details to come.,,,,,,,,,,,,,,,,
0,"HR TALKS KENYA an organization of Taita Taveta University Alumni hosted a Human Resource workshop on Friday 13-03-2020 at the University CEMEREM boardroom targeting TTU Students the theme for the event was: Taking charge of your HR career The speakers were:- 1. Felix Aloo 2. Joan Tonui - HR Officer, Base Titanium 3. Jane Macharia - HR & Admin Manger, The Lord Eroll 4. Nelson Ogudha - HR Data Analyst/Payroll/HR Generalist",,,,,,,,,,,,,,,,
5,Ready for Sunday....don?t miss the service tomorrow from 9am to 12 pm at Jubilee Christian church voi... next to SDA church opposite total petrol station. Karibu JCC voi.,,,,,,,,,,,,,,,,
5,JCC you are bad neighbour to Voi Central SDA church.... why unleash your loudspeakers every Saturday when you know we Adventist have our services? You found us here and its fair you accord us our peace on Sabbath ( Saturday)....,,,,,,,,,,,,,,,,
3,"To the students leaders, 3y secretaries in respective universities  and Tvets , Students and relevant stakeholders.(coastal region) With concern and highest decorum I want to with immediate effect urge all the respective named addressee with alarming speed link up with the 3y departments in county government , area hospitals to ensure that their is maximum control and necessary precautions measures  taken to cub Corona virus which has so far been reported in the country. Incase of any suspicious doubts or signs of Corona I wish you link you the above stated departments with immediate effect ,I also want to urge the  3y secretaries to ensure their is plenty flow of water within the institution and also other necessary prevention measures  aligned in order.Universities and Tvets being highly populated zones can be the worsed nightmare incase of any outbreak.Let's keep safety,(Viva comrades) We  are more powerful than Corona and we should remain anticorona.Regards Signed 14/04/2020;1400HRS Michael Muinde.Kuso president coastal region (2019/2020.)",,,,,,,,,,,,,,,,
5,@relearnNG is hosting an Info Session for Secondary Schools in #Nairobi interested in learning about the Innovative STEM Teachers Fellowship.Interested in participating? Nominate your school for an Info Session visit: bit.ly/ISTFInfosession,,,,,,,,,,,,,,,,
3,"Comrades and  fellow Kenyans  take care, follow all the protective measures towards securing your lives against deadly Corona virus. Stay displined.Let the will of mighty God be done.God protect us.",,,,,,,,,,,,,,,,
2,Congratulation to Kiprotich Elkanah Mutai for clinching the Chairman position during the Student Association of Taita Taveta 2 2020.,,,,,,,,,,,,,,,,
5,"pretty outfits for the girl child.Available in our store, place your orders here :0784829890,shop located at Kahawa west off northern bypass",,,,,,,,,,,,,,,,
2,Students Association of Taita Taveta University 2 2020,,,,,,,,,,,,,,,,
5,Green Kids Awards Nominations Open.  An award for children & Teens below age of 18yrs involved in #Environmental #ConservationNominate ???? https://forms.gle/iUAfVF8NmLY9fKoT8Contact: 0703735160/ greenkidsaward@Gmail.com,,,,,,,,,,,,,,,,
2,"Say no to tumultuous leaders filled with oblivious. We need a true definition of resurrection and sound minded person to lead entire fraternity of ttu; who is he if not Charles Ochieng? The innovative and creative man of all races.Vote Charles vote for accountability, transparency and trustability in all sphere. Don't vote  idealistic but vote pragmatic of comrades genuine problems.????????",,,,,,,,,,,,,,,,
5,Special offerHp Folio 9470mScreen size: 14 inchesIntel Core: i5Ram: 4gbHarddisk: 500gbKeyboard: BacklightClock Speed: 2.3ghzBattery: 4 hoursPrice: 25kNewWe buy dead laptops with everything intactWe also repair laptops and sell computer accessories at affordable prices on 0720582565Located VOI Opposite D star Hotel,,,,,,,,,,,,,,,,
5,Watching Dj bunney254 aka Omwana etoyota doing her thing is the best music experience one can ever have. Follow this page to watch her amazing videos of all time. Thank you for the unwavering support,,,,,,,,,,,,,,,,
5,"Do you love church?... this Sunday make an effort of attending a service. We welcome you all at Jubilee Christian church-voi, located at inner voi -msa road... opposite total petrol station.. near SDA church. Our service kicks off at exactly 9:00 am to 12:00 pm. Come expectant... kindly tag a friend along...??... Shalom!...",,,,,,,,,,,,,,,,
5,"Finally, #VOI to host the #Youth Talent & #Career Fair on 22nd Feb. 2020. See details in the image.",,,,,,,,,,,,,,,,
5,PHOTOS: Police in Taita Taveta led by County Commander Saidi Kiprotich march to Moi County Refferral Hospital to spend #ValentinesDay2020 with the sick.,,,,,,,,,,,,,,,,
1,"Fully sponsored , undergraduate ,post graduate 2020/2021 intake.Key requirements passport , certificate of good conduct , 100% quranteed.",,,,,,,,,,,,,,,,
0,"Unveiling Our Guest Speakers,Principal Secretary,State Department for Tourism Hon.Safina Kwekwe,CBS is our Guest Speaker for the upcoming event dubbed  KUCCPS PRE-COURSE SELECTION & CAREER SENSITISATION FORUM scheduled on Sunday,19th Jan ,2020 at Kenya Redcross, Mvindeni .",,,,,,,,,,,,,,,,
1,"Despite the fact that they ranked BAHARI Girls in Kilifi South, and gave south our best grades, kilifi North Constituency ranked the best,top, number 1 in the coast region. During our education conference in 2018 held at pwani University I promised to transform education in kilifi North not only in infrastructure but also performance to be top in the Nation. we have topped Coast  Region. Na Bado. Leadership is everything and focused leadership is the answer. #leaderwithavision",,,,,,,,,,,,,,,,
5,"Police use teargas and live bullets to disperse stranded Egerton University comrades trying to force their way into the institution without paying Ksh17,000 damages fee http://bit.ly/2L5ReyZ",,,,,,,,,,,,,,,,
5,Selling at voi town just 400...contact 0715435295,,,,,,,,,,,,,,,,
0,"INFORMATION TO ALL STUDENTS Fees and Damage Charges Payment 1. DO NOT pay Fees and Damage charges of ksh. 3,911/~ through Bank Agents, instead use Taita Taveta University Equity Bank Fees Account Number : 0790299712769 (Voi Branch )Note: You can pay through any Equity Branch a cross the country.2. Ensure you pay fees and damage charges early enough NOT on the reporting day inorder for the payment to reflect in the accounts on time?3. Kindly pay fees and damage charges separately don't make a bulk payment  You will be required to produce  separate bank slips as proof of payment during the reporting day.",,,,,,,,,,,,,,,,
5,Miguna Miguna's return standoff casts a dark shadow on President Uhuru's 0 with respect to the rule of law...,,,,,,,,,,,,,,,,
1,Is everything right in our institutions? Or is anything wrong???Too many suspensions and expulsions in a period of less than 2 years.Shida ni comrades ama ni 0s??????,,,,,,,,,,,,,,,,
2,"Happy new year comrades.2020 I promise to serve you at equal measure of the power you have bestowed in me.I promise you the best,God is our faithful patron.Love you all #2020 tuko grao.",,,,,,,,,,,,,,,,
0,Re~opening dates/Resumption of teaching/learning of students Check out tomorrow's 23rd Dec 2019 Newspapers (Standard and Nation) for a detailed announcement,,,,,,,,,,,,,,,,
5,"After putting the National Government Agencies,Parastals,and Counties on the radar in the fight against corruption...EACC and ODPP must also scrutinize the NG-CDF and NGAAF..",,,,,,,,,,,,,,,,
0,COLLECTION OF CERTIFICATES & TRANSCRIPTS,,,,,,,,,,,,,,,,
5,Make a million in 2020 just from an investment fee of 300 and start working online where you can earn upto ksh 1000 per day. Inbox my whatsapp number 0798620344 for more information.,,,,,,,,,,,,,,,,
0,On behalf of Management we want to refute the Memo circulating in the social media purporting to recall students on 13/12/2019. The information should be ignored and treated as fake.The opening dates will be officially communicated through the Mainstream Media by the University.,,,,,,,,,,,,,,,,
0,"The Vice Chancellor Taita Taveta University (TTU) welcomes ALL students who qualified for conferment of Degrees and award of Diplomas at the end of the 2018/2019 academic year, as well as all Parents, Guardians and invited Guests to the 3rd Graduation Ceremony that will be held on Wednesday, 27th November, 2019 commencing at 08.00 a.m. at the University 6 Pavilion of the Main Campus. We congratulate all our graduands and welcome you back to your second home Taita Taveta University, the Home of Ideas.",,,,,,,,,,,,,,,,
0,"PRO and the entire university has done very little on advertising the institution on social media,most Kenyans still get surprised when they hear that there is a university called Taita Taveta ,just spend on advert,don't wait for comrades to stage a small demonstration whenever their grievances are unheard ,that is when voi local radio stations get an opportunity to say sth on TTU.Finally,congratulations to graduands",,,,,,,,,,,,,,,,
0,PR and Marketing Department. You can't offer marketing as a course and fail to utilize it to your own advantage.The University is still UNKNOWN. Lukenya University is overtaking.,,,,,,,,,,,,,,,,
3,"World Aids Day!Wish the National Govt,County Govts,Private sector,3 Sector and other stakeholders,jointly marked the day by distributing free HIV Self-testing kits like OraQuick  among the households to enhance awareness ; the new infections stats are grim among the Youth aged between 15 & 24...while there is a decline among other age groups...all in all the HIV fight must be enhanced  by all of US!",,,,,,,,,,,,,,,,
0,TTU 3RD GRADUATION CEREMONY,,,,,,,,,,,,,,,,
5,2 days remaining Grand Talent Show Malindi 30th November at Jardin lorna Malindi #GTSmalindi #AfricanteacherRegister your item on 0707266031,,,,,,,,,,,,,,,,
5,"Wellcome one,wellcome all to citizen live church service at Taita~taveta university! Love you all and May God bless you all!!",,,,,,,,,,,,,,,,
1,*Postgraduate Opportunities in Mathematics and Statistics at TTU*Do you have an undergraduate degree in Mathematics or Statistics related field?Do you want to grow your career faster and innovate yourself?Taita Taveta University (TTU) has fantastic opportunities to further your studies by undertaking Msc Applied Statistics or Msc Mathematical Modeling.The programmes are offered in flexible learning hours and friendly to those who are already in employment. Our lecturing team is made up of experienced staff both in classroom and in undertaking practical consultancies linked to SDGs in international organisations across Africa.Come innovate a new world with us at TTU.,,,,,,,,,,,,,,,,
4,It's Official will be hosting Eddie Butita Campus Tour on Friday 22nd November 2019 from 6pm at the auditorium.,,,,,,,,,,,,,,,,
0,"Taita Taveta University Chairman of Council Dr.Morompi Oleronkei has commended the partnership between the US Government and TTU through establishment of collaboration with US Universities. Speaking at Taita Taveta University when he hosted the US ambassador to Kenya Kyle McCarte who had paid a courtesy call to him and the Vice Chancellor Prof.Fred Simiyu, Dr.Morompi added that the University is in the process of establishing a formidable collaboration with University of Colorado.Ambassador Kyle McCarte said the visit was geared towards understanding priority areas in Taita Taveta county in order to ascertain how the US Government can broaden her partnership.",,,,,,,,,,,,,,,,
0,"It is with deep sorrow and sadness that we announce the passing on of our dear beloved colleague and friend Mr. Peter Kizaro Masha that occurred on Wednesday 2nd October 2019 while undergoing treatment at Pandya Hospital. Mr. Masha served in this University as a driver.The Council, Management, Students and Staff convey our condolence to the family, relatives, colleagues and friends of the late Mr. Peter Masha. May we find solace in the fact that death is only a transition to a better existence.Burial date shall be communicated later once the arrangements have been finalized.May His Soul Rest in Eternal Peace.",,,,,,,,,,,,,,,,
0,"This afternoon, TTU family led by the Vice Chancellor Prof. Fred Simiyu Barasa joined together at the auditorium  to pray for The Almighty's intervention to the injured who are still recuperating the hospital and also for comfort of the family of our departed Brother Cosmas Kipserem in the accident that occurred today morning. Our trust is in the Almighty Father, redeemer of the World.",,,,,,,,,,,,,,,,
0,"TTU is hosting Taita Taveta County government staff training on IFMIS from today Tuesday 3rd to Friday 6th September 2019.More than 70 participants attending, led by Finance CEC Waziri Mwangoma and Finance CCO Mr. Langat.Facilities in use: computer lab, catering, transport.Looking forward to good business and good relations with the county government 006",,,,,,,,,,,,,,,,
1,TIME TABLE FOR SPECIAL & SUPPLEMENTARY EXAMINATIONS,,,,,,,,,,,,,,,,
6,"TTU is hosting the National 6 Competition event organized by Compassion International. The four days event that started on Monday 19th to Thursday 22nd August 2019, has attracted participants from the age of 9 to 22 years coming from Coast,Western, Nairobi, North rift, South Rift, Central and Mt.Kenya regions. The over 1000 participants grouped in junior and senior categories are competing in various games including; soccer, athletics, basketball, volleyball and indoor games. ",,,,,,,,,,,,,,,,
1,The timetable for the academic year's supplimentary and special exams is now out and pinned in the varsity notice boards. For those who can access the varsity find it on notice boards. I am making arrangements to have the pdf file uploaded,,,,,,,,,,,,,,,,
3,I suggest that the school hospital should ask for a new ambulance since the one they got I really can't see if it has the capacity to help us. <3>,,,,,,,,,,,,,,,,
3,The school dispensary has poor services like those equipment they are below the standard that should be having.,,,,,,,,,,,,,,,,
3, Responsibility is key because if we were responsible students we could not be complaining about this issue at the school hospital.,,,,,,,,,,,,,,,,
3,If that is the case let's also be responsible students while visiting the school hospital to ask for help from the doctors available.,,,,,,,,,,,,,,,,
3,I suggest that there should be an increase in the number of dustbins in and around the pathways leading to the dispensary.,,,,,,,,,,,,,,,,
3,"The dustbin at the school hospital should be maintained, that is it should be emptied almost twice a week or so.",,,,,,,,,,,,,,,,
3,Judging on your comments fellow learned Friends i see that you are concerned with the issues of cleaning at the dispensary which is a good idea.,,,,,,,,,,,,,,,,
3,How can we be even talking about lack of water at the school dispensary really guys? It should be top priority since covid is spreading so fast. ,,,,,,,,,,,,,,,,
3,Let us focus on the issues of lack of water at the school dispensary. This is a very hard pill to swallow because it's very essential.,,,,,,,,,,,,,,,,
3,comrades should be able to have a chance to help the school dispensary to deliver some of its functions.,,,,,,,,,,,,,,,,
3,As much as painkillers are necessary at the moment in the school hospital we should also push for the provision of good drugs.,,,,,,,,,,,,,,,,
3,That's a very good idea my friends. Let's look at the future of our younger friends who will have to look for services at the same school hospital.,,,,,,,,,,,,,,,,
3, listen people It is a good thing that we have to fight for our friends right at the school dispensary.,,,,,,,,,,,,,,,,
3,I am not sure but I think the school hospital does need the payment in order for them to treat their children.,,,,,,,,,,,,,,,,
3, Does the school dispensary help the students with babies or do the students have to pay in order to receive the service?,,,,,,,,,,,,,,,,
3,Guys we have no option but to tell our chairman to meet with the school hospital leader to address this issue at hand.,,,,,,,,,,,,,,,,
3,So what do you suggest... What should we do about this dispensary issue please my learned friends? I need your honest input.,,,,,,,,,,,,,,,,
3,What are you saying..... can you listen to yourself if we send the chairman it shall not be done in time for the dispensary to have that meeting.,,,,,,,,,,,,,,,,
3,I propose we talk with the students chairman so that he should be able to meet the school hospital leaders and talk on our behalf.,,,,,,,,,,,,,,,,
3,Let's stop blaming each other for something we should have done in the past rather we should find a solution to our dispensary issues.,,,,,,,,,,,,,,,,
3,students at the school dispensary are undergoing a lot of problems accessing treatment everyday,,,,,,,,,,,,,,,,
3,Taps located at the entrance of the school hospital should be maintained regularly to avoid students being infected by diseases.,,,,,,,,,,,,,,,,
3,"I second you on the matter concerning those taps at the hospital, they also should have water flowing through them 24 hours.",,,,,,,,,,,,,,,,
3,The institution has improved the quality of service offered by the dispensary i urge that they should keep u,The institution has improved the quality of service offered by the dispensary i urge that they should keep u,The institution has improved the quality of service offered by the dispensary i urge that they should keep u,The institution has improved the quality of service offered by the dispensary i urge that they should keep u,The institution has improved the quality of service offered by the dispensary i urge that they should keep u,The institution has improved the quality of service offered by the dispensary i urge that they should keep u,The institution has improved the quality of service offered by the dispensary i urge that they should keep u,,,,,,,,,,p up
3,I went to the dispensary today and I was shocked by the strength of the wifi connection.... I think it would be better if we focus that wifi at the TV rooms.,,,,,,,,,,,,,,,,
0, Booking of rooms should be online to avoid long queues during opening day,,,,,,,,,,,,,,,,
0, the 10 to 10 rule should actually be extended to 12pm or even abolished as a matter of fact.,,,,,,,,,,,,,,,0,
0,"Spare keys should be offered for free, it’s not always about being careless that I lost the key.",,,,,,,,,,,,,,,,
0,The washrooms are in a pathetic condition and our 3 is being compromised here.,,,,,,,,,,,,,,,,
1,Cpa online classes January 2022 intake ongoing for April 2022 exams by Mr. Njuguna.,,,,,,,,,,,,,,,,
